"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 2"
"03/31/2018 23:04:24:320 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"2","2","10","150","2.5","25","23","19.7","20.652173913043477","100188","183","11","1","7","3"
"3","2","10","150","3","28","23","22.65714285714286","23.652173913043477","100219","182","11","1","7","3"
"1","2","10","150","2","24","23","18.714285714285715","19.652173913043477","92171","183","11","1","7","3"
"2","2","10","150","2.5","26","23","20.685714285714287","21.652173913043477","100197","183","11","1","7","3"
"3","2","10","150","3","29","23","23.642857142857142","24.652173913043477","100228","182","11","1","7","3"
"1","2","10","150","2","25","23","19.7","20.652173913043477","92179.5","183","11","1","7","3"
"2","2","10","150","2.5","27","23","21.67142857142857","22.652173913043477","100206","183","11","1","7","3"
"3","2","10","150","3","30","23","24.62857142857143","25.652173913043477","100237","209","11","1","7","3"
"1","2","10","150","2","26","23","20.685714285714287","21.652173913043477","92188","183","11","1","7","3"
"2","2","10","150","2.5","28","23","22.65714285714286","23.652173913043477","100215","183","11","1","7","3"
"1","2","10","150","2","27","23","21.67142857142857","22.652173913043477","92196.5","183","11","1","7","3"
"3","2","10","150","3","31","23","24.22972972972973","25.246575342465754","100246","227","11","1","7","3"
"2","2","10","150","2.5","29","23","23.642857142857142","24.652173913043477","100224","183","11","1","7","3"
"3","2","10","150","3","32","27","25.216216216216218","26.166666666666668","100255","227","11","1","7","3"
"1","2","10","150","2","28","23","22.65714285714286","23.652173913043477","92205","183","11","1","7","3"
"3","2","10","150","3","33","27","26.18918918918919","27.166666666666668","100264","236","11","1","7","3"
"1","2","10","150","2","29","23","23.642857142857142","24.652173913043477","92213.5","183","11","1","7","3"
"2","2","10","150","2.5","30","23","24.62857142857143","25.652173913043477","100233","228","11","1","7","3"
"2","2","10","150","2.5","31","23","24.22972972972973","25.246575342465754","100242","228","11","1","7","3"
"3","2","10","150","3","34","27","27.16216216216216","28.166666666666668","100273","237","11","1","7","3"
"1","2","10","150","2","30","23","24.62857142857143","25.652173913043477","92222","223","11","1","7","3"
"3","2","10","150","3","35","27","28.135135135135137","29.166666666666668","100282","237","11","1","7","3"
"2","2","10","150","2.5","32","27","25.216216216216218","26.166666666666668","100251","228","11","1","7","3"
"1","2","10","150","2","31","23","24.22972972972973","25.246575342465754","92230.5","223","11","1","7","3"
"3","2","10","150","3","36","29.666666666666668","29.10810810810811","30.08450704225352","100291","237","11","1","7","3"
"2","2","10","150","2.5","33","27","26.18918918918919","27.166666666666668","100260","237","11","1","7","3"
"1","2","10","150","2","32","27","25.216216216216218","26.166666666666668","92239","223","11","1","7","3"
"3","2","10","150","3","37","29.666666666666668","30.06756756756757","31.08450704225352","100300","237","11","1","7","3"
"2","2","10","150","2.5","34","27","27.16216216216216","28.166666666666668","100269","237","11","1","7","3"
"1","2","10","150","2","33","27","26.18918918918919","27.166666666666668","92247.5","231","11","1","7","3"
"3","2","10","150","3","38","31.5","31.027027027027028","32","100309","237","11","1","7","3"
"2","2","10","150","2.5","35","27","28.135135135135137","29.166666666666668","100278","237","11","1","7","3"
"3","2","10","150","3","39","32.8","31.972972972972972","32.91304347826087","100318","237","11","1","7","3"
"1","2","10","150","2","34","27","27.16216216216216","28.166666666666668","92256","233","11","1","7","3"
"2","2","10","150","2.5","36","29.666666666666668","29.10810810810811","30.08450704225352","100287","237","11","1","7","3"
"3","2","10","150","3","40","32.8","32.9054054054054","33.91304347826087","100327","258","11","1","7","3"
"1","2","10","150","2","35","27","28.135135135135137","29.166666666666668","92264.5","233","11","1","7","3"
"2","2","10","150","2.5","37","29.666666666666668","30.06756756756757","31.08450704225352","100296","237","11","1","7","3"
"3","2","10","150","3","41","32.8","33.83783783783784","34.91304347826087","100336","272","11","1","7","3"
"1","2","10","150","2","36","29.666666666666668","29.10810810810811","30.08450704225352","92273","233","11","1","7","3"
"2","2","10","150","2.5","38","31.5","31.027027027027028","32","100305","237","11","1","7","3"
"3","2","10","150","3","42","32.8","34.770270270270274","35.91304347826087","100345","272","11","1","7","3"
"1","2","10","150","2","37","29.666666666666668","30.06756756756757","31.08450704225352","92281.5","233","11","1","7","3"
"2","2","10","150","2.5","39","32.8","31.972972972972972","32.91304347826087","100314","237","11","1","7","3"
"3","2","10","150","3","43","32.8","35.7027027027027","36.91304347826087","100354","281","11","1","7","3"
"1","2","10","150","2","38","31.5","31.027027027027028","32","92290","233","11","1","7","3"
"2","2","10","150","2.5","40","32.8","32.9054054054054","33.91304347826087","100323","258","11","1","7","3"
"3","2","10","150","3","44","32.8","36.63513513513514","37.91304347826087","100363","281","11","1","7","3"
"1","2","10","150","2","39","32.8","31.972972972972972","32.91304347826087","92298.5","233","11","1","7","3"
"2","2","10","150","2.5","41","32.8","33.83783783783784","34.91304347826087","100332","272","11","1","7","3"
"3","2","10","150","3","45","35.125","37.567567567567565","38.86363636363637","100372","281","11","1","7","3"
"2","2","10","150","2.5","42","32.8","34.770270270270274","35.91304347826087","100341","272","11","1","7","3"
"1","2","10","150","2","40","32.8","32.9054054054054","33.91304347826087","92307","263","11","1","7","3"
"3","2","10","150","3","46","35.125","38.45945945945946","39.86363636363637","100381","281","11","1","7","3"
"3","2","10","150","3","47","35.125","39.351351351351354","40.86363636363637","100390","281","11","1","7","3"
"1","2","10","150","2","41","32.8","33.83783783783784","34.91304347826087","92315.5","263","11","1","7","3"
"2","2","10","150","2.5","43","32.8","35.7027027027027","36.91304347826087","100350","279","11","1","7","3"
"3","2","10","150","3","48","36.44444444444444","40.24324324324324","41.76923076923077","100399","281","11","1","7","3"
"2","2","10","150","2.5","44","32.8","36.63513513513514","37.91304347826087","100359","279","11","1","7","3"
"1","2","10","150","2","42","32.8","34.770270270270274","35.91304347826087","92324","263","11","1","7","3"
"3","2","10","150","3","49","36.44444444444444","41.12162162162162","42.76923076923077","100408","281","11","1","7","3"
"2","2","10","150","2.5","45","35.125","37.567567567567565","38.86363636363637","100368","279","11","1","7","3"
"1","2","10","150","2","43","32.8","35.7027027027027","36.91304347826087","92332.5","270","11","1","7","3"
"3","2","10","150","3","50","36.46666666666667","42","44.40677966101695","100417","306","11","1","7","3"
"2","2","10","150","2.5","46","35.125","38.45945945945946","39.86363636363637","100377","279","11","1","7","3"
"1","2","10","150","2","44","32.8","36.63513513513514","37.91304347826087","92341","270","11","1","7","3"
"3","2","10","150","3","51","37.3125","42.7972972972973","45.310344827586206","100426","306","11","1","7","3"
"2","2","10","150","2.5","47","35.125","39.351351351351354","40.86363636363637","100386","279","11","1","7","3"
"1","2","10","150","2","45","35.125","37.567567567567565","38.86363636363637","92349.5","270","11","1","7","3"
"3","2","10","150","3","52","37.3125","43.58108108108108","46.310344827586206","100435","306","11","1","7","3"
"2","2","10","150","2.5","48","36.44444444444444","40.24324324324324","41.76923076923077","100395","279","11","1","7","3"
"1","2","10","150","2","46","35.125","38.45945945945946","39.86363636363637","92358","270","11","1","7","3"
"2","2","10","150","2.5","49","36.44444444444444","41.12162162162162","42.76923076923077","100404","279","11","1","7","3"
"3","2","10","150","3","53","37.3125","44.36486486486486","47.310344827586206","100444","312","11","1","7","3"
"1","2","10","150","2","47","35.125","39.351351351351354","40.86363636363637","92366.5","270","11","1","7","3"
"2","2","10","150","2.5","50","36.46666666666667","42","44.40677966101695","100413","294","11","1","7","3"
"3","2","10","150","3","54","38.23529411764706","45.148648648648646","48.21052631578947","100453","312","11","1","7","3"
"1","2","10","150","2","48","36.44444444444444","40.24324324324324","41.76923076923077","92375","270","11","1","7","3"
"3","2","10","150","3","55","38.23529411764706","45.91891891891892","49.21052631578947","100462","312","11","1","7","3"
"2","2","10","150","2.5","51","37.3125","42.7972972972973","45.310344827586206","100422","304","11","1","7","3"
"1","2","10","150","2","49","36.44444444444444","41.12162162162162","42.76923076923077","92383.5","270","11","1","7","3"
"3","2","10","150","3","56","38.23529411764706","46.689189189189186","50.21052631578947","100471","312","11","1","7","3"
"2","2","10","150","2.5","52","37.3125","43.58108108108108","46.310344827586206","100431","304","11","1","7","3"
"3","2","10","150","3","57","38.23529411764706","47.45945945945946","51.21052631578947","100480","312","11","1","7","3"
"1","2","10","150","2","50","36.46666666666667","42","44.40677966101695","92392","282","11","1","7","3"
"2","2","10","150","2.5","53","37.3125","44.36486486486486","47.310344827586206","100440","309","11","1","7","3"
"3","2","10","150","3","58","39.27777777777778","48.229729729729726","52.107142857142854","100489","312","11","1","7","3"
"1","2","10","150","2","51","37.3125","42.7972972972973","45.310344827586206","92400.5","290","11","1","7","3"
"2","2","10","150","2.5","54","38.23529411764706","45.148648648648646","48.21052631578947","100449","309","11","1","7","3"
"3","2","10","150","3","59","39.27777777777778","48.986486486486484","53.107142857142854","100498","312","11","1","7","3"
"2","2","10","150","2.5","55","38.23529411764706","45.91891891891892","49.21052631578947","100458","309","11","1","7","3"
"1","2","10","150","2","52","37.3125","43.58108108108108","46.310344827586206","92409","290","11","1","7","3"
"3","2","10","150","3","60","39.27777777777778","49.74324324324324","54.107142857142854","100507","327","11","1","7","3"
"2","2","10","150","2.5","56","38.23529411764706","46.689189189189186","50.21052631578947","100467","309","11","1","7","3"
"1","2","10","150","2","53","37.3125","44.36486486486486","47.310344827586206","92417.5","295","11","1","7","3"
"3","2","10","150","3","61","39.27777777777778","50.5","55.107142857142854","100516","337","11","1","7","3"
"2","2","10","150","2.5","57","38.23529411764706","47.45945945945946","51.21052631578947","100476","309","11","1","7","3"
"1","2","10","150","2","54","38.23529411764706","45.148648648648646","48.21052631578947","92426","295","11","1","7","3"
"3","2","10","150","3","62","39.27777777777778","51.25675675675676","56.107142857142854","100525","337","11","1","7","3"
"2","2","10","150","2.5","58","39.27777777777778","48.229729729729726","52.107142857142854","100485","309","11","1","7","3"
"3","2","10","150","3","63","40.8","52.013513513513516","57.166666666666664","100534","342","11","1","7","3"
"1","2","10","150","2","55","38.23529411764706","45.91891891891892","49.21052631578947","92434.5","295","11","1","7","3"
"2","2","10","150","2.5","59","39.27777777777778","48.986486486486484","53.107142857142854","100494","309","11","1","7","3"
"3","2","10","150","3","64","41.857142857142854","52.74324324324324","58.056603773584904","100543","344","11","1","7","3"
"1","2","10","150","2","56","38.23529411764706","46.689189189189186","50.21052631578947","92443","295","11","1","7","3"
"3","2","10","150","3","65","41.857142857142854","53.45945945945946","59.056603773584904","100552","344","11","1","7","3"
"2","2","10","150","2.5","60","39.27777777777778","49.74324324324324","54.107142857142854","100503","334","11","1","7","3"
"1","2","10","150","2","57","38.23529411764706","47.45945945945946","51.21052631578947","92451.5","295","11","1","7","3"
"3","2","10","150","3","66","41.857142857142854","54.17567567567568","60.056603773584904","100561","344","11","1","7","3"
"2","2","10","150","2.5","61","39.27777777777778","50.5","55.107142857142854","100512","334","11","1","7","3"
"1","2","10","150","2","58","39.27777777777778","48.229729729729726","52.107142857142854","92460","295","11","1","7","3"
"3","2","10","150","3","67","41.857142857142854","54.891891891891895","61.056603773584904","100570","344","11","1","7","3"
"2","2","10","150","2.5","62","39.27777777777778","51.25675675675676","56.107142857142854","100521","334","11","1","7","3"
"1","2","10","150","2","59","39.27777777777778","48.986486486486484","53.107142857142854","92468.5","295","11","1","7","3"
"3","2","10","150","3","68","41.857142857142854","55.608108108108105","62.056603773584904","100579","344","11","1","7","3"
"2","2","10","150","2.5","63","40.8","52.013513513513516","57.166666666666664","100530","340","11","1","7","3"
"1","2","10","150","2","60","39.27777777777778","49.74324324324324","54.107142857142854","92477","304","11","1","7","3"
"3","2","10","150","3","69","41.857142857142854","56.32432432432432","63.056603773584904","100588","344","11","1","7","3"
"2","2","10","150","2.5","64","41.857142857142854","52.74324324324324","58.056603773584904","100539","340","11","1","7","3"
"1","2","10","150","2","61","39.27777777777778","50.5","55.107142857142854","92485.5","310","11","1","7","3"
"3","2","10","150","3","70","44","57.04054054054054","64.3","100597","362","11","1","7","3"
"2","2","10","150","2.5","65","41.857142857142854","53.45945945945946","59.056603773584904","100548","340","11","1","7","3"
"1","2","10","150","2","62","39.27777777777778","51.25675675675676","56.107142857142854","92494","310","11","1","7","3"
"3","2","10","150","3","71","45.42307692307692","57.71621621621622","65.375","100606","374","11","1","7","3"
"2","2","10","150","2.5","66","41.857142857142854","54.17567567567568","60.056603773584904","100557","340","11","1","7","3"
"1","2","10","150","2","63","40.8","52.013513513513516","57.166666666666664","92502.5","313","11","1","7","3"
"3","2","10","150","3","72","45.42307692307692","58.36486486486486","66.375","100615","374","11","1","7","3"
"2","2","10","150","2.5","67","41.857142857142854","54.891891891891895","61.056603773584904","100566","340","11","1","7","3"
"1","2","10","150","2","64","41.857142857142854","52.74324324324324","58.056603773584904","92511","313","11","1","7","3"
"3","2","10","150","3","73","45.42307692307692","59.013513513513516","67.375","100624","381","11","1","7","3"
"2","2","10","150","2.5","68","41.857142857142854","55.608108108108105","62.056603773584904","100575","340","11","1","7","3"
"3","2","10","150","3","74","45.42307692307692","59.66216216216216","68.375","100633","381","11","1","7","3"
"1","2","10","150","2","65","41.857142857142854","53.45945945945946","59.056603773584904","92519.5","313","11","1","7","3"
"2","2","10","150","2.5","69","41.857142857142854","56.32432432432432","63.056603773584904","100584","340","11","1","7","3"
"3","2","10","150","3","75","45.42307692307692","60.310810810810814","69.375","100642","381","11","1","7","3"
"1","2","10","150","2","66","41.857142857142854","54.17567567567568","60.056603773584904","92528","313","11","1","7","3"
"2","2","10","150","2.5","70","44","57.04054054054054","64.3","100593","361","11","1","7","3"
"3","2","10","150","3","76","46.51851851851852","60.95945945945946","70.25531914893617","100651","381","11","1","7","3"
"1","2","10","150","2","67","42.95454545454545","54.891891891891895","60.94230769230769","92536.5","313","11","1","7","3"
"2","2","10","150","2.5","71","45.42307692307692","57.71621621621622","65.375","100602","375","11","1","7","3"
"3","2","10","150","3","77","46.51851851851852","61.5945945945946","71.25531914893617","100660","381","11","1","7","3"
"1","2","10","150","2","68","42.95454545454545","55.5945945945946","61.94230769230769","92545","313","11","1","7","3"
"2","2","10","150","2.5","72","45.42307692307692","58.36486486486486","66.375","100611","375","11","1","7","3"
"3","2","10","150","3","78","46.51851851851852","62.229729729729726","72.25531914893617","100669","381","11","1","7","3"
"1","2","10","150","2","69","42.95454545454545","56.2972972972973","62.94230769230769","92553.5","313","11","1","7","3"
"3","2","10","150","3","79","46.51851851851852","62.86486486486486","73.25531914893617","100678","381","11","1","7","3"
"2","2","10","150","2.5","73","45.42307692307692","59.013513513513516","67.375","100620","384","11","1","7","3"
"1","2","10","150","2","70","44.88","57","64.18367346938776","92562","325","11","1","7","3"
"2","2","10","150","2.5","74","46.44444444444444","59.66216216216216","68.25531914893617","100629","384","11","1","7","3"
"3","2","10","150","3","80","46.51851851851852","63.5","74.25531914893617","100687","416","11","1","7","3"
"2","2","10","150","2.5","75","46.44444444444444","60.2972972972973","69.25531914893617","100638","384","11","1","7","3"
"3","2","10","150","3","81","46.51851851851852","64.13513513513513","75.25531914893617","100696","416","11","1","7","3"
"1","2","10","150","2","71","46.18518518518518","57.66216216216216","65.25531914893617","92570.5","333","11","1","7","3"
"2","2","10","150","2.5","76","47.464285714285715","60.932432432432435","70.1304347826087","100647","384","11","1","7","3"
"3","2","10","150","3","82","46.51851851851852","64.77027027027027","76.25531914893617","100705","416","11","1","7","3"
"1","2","10","150","2","72","46.18518518518518","58.2972972972973","66.25531914893617","92579","333","11","1","7","3"
"2","2","10","150","2.5","77","47.464285714285715","61.554054054054056","71.1304347826087","100656","384","11","1","7","3"
"3","2","10","150","3","83","46.51851851851852","65.4054054054054","77.25531914893617","100714","423","11","1","7","3"
"1","2","10","150","2","73","46.18518518518518","58.932432432432435","67.25531914893617","92587.5","338","11","1","7","3"
"2","2","10","150","2.5","78","47.464285714285715","62.17567567567568","72.1304347826087","100665","384","11","1","7","3"
"3","2","10","150","3","84","46.51851851851852","66.04054054054055","78.25531914893617","100723","423","11","1","7","3"
"1","2","10","150","2","74","47.142857142857146","59.567567567567565","68.1304347826087","92596","338","11","1","7","3"
"2","2","10","150","2.5","79","47.464285714285715","62.7972972972973","73.1304347826087","100674","384","11","1","7","3"
"3","2","10","150","3","85","46.51851851851852","66.67567567567568","79.25531914893617","100732","423","11","1","7","3"
"1","2","10","150","2","75","47.142857142857146","60.189189189189186","69.1304347826087","92604.5","338","11","1","7","3"
