"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 09:52:43:337 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"1","0.5","10","150","1","25","23","19.7","20.652173913043477","116215.5","337","15","5","7","3"
"2","0.5","10","150","1.5","23","0","17.714285714285715","18.714285714285715","116191.5","337","15","5","7","3"
"3","0.5","10","150","2","25","23","19.685714285714287","20.58823529411765","122234.5","382","16","6","7","3"
"1","0.5","10","150","1","26","23","20.685714285714287","21.652173913043477","116228","337","15","5","7","3"
"2","0.5","10","150","1.5","24","23","18.714285714285715","19.652173913043477","122205","369","16","5","7","3"
"3","0.5","10","150","2","26","23","20.65714285714286","21.58823529411765","122247","397","16","6","7","3"
"1","0.5","10","150","1","27","23","21.67142857142857","22.652173913043477","116240.5","337","15","5","7","3"
"2","0.5","10","150","1.5","25","23","19.7","20.652173913043477","122218.5","384","16","6","7","3"
"3","0.5","10","150","2","27","19","21.62857142857143","22.746268656716417","122258.5","413","16","5","7","4"
"1","0.5","10","150","1","28","20.666666666666668","22.65714285714286","23.746268656716417","116253","337","15","5","7","3"
"2","0.5","10","150","1.5","26","23","20.685714285714287","21.652173913043477","122232","384","16","6","7","3"
"3","0.5","10","150","2","28","19.2","22.585714285714285","23.846153846153847","128271","445","17","4","7","5"
"1","0.5","10","150","1","29","18.75","23.614285714285714","24.90909090909091","116265.5","337","15","5","7","3"
"2","0.5","10","150","1.5","27","23","21.67142857142857","22.652173913043477","122245.5","384","16","6","7","3"
"3","0.5","10","150","2","29","19.2","23.514285714285716","24.846153846153847","128282.5","477","17","5","7","5"
"1","0.5","10","150","1","30","18.75","24.557142857142857","25.90909090909091","122279","389","16","5","7","3"
"2","0.5","10","150","1.5","28","23","22.65714285714286","23.652173913043477","122259","384","16","6","7","3"
"3","0.5","10","150","2","30","19.2","24.442857142857143","25.846153846153847","134295","547","18","4","7","6"
"2","0.5","10","150","1.5","29","19.25","23.642857142857142","24.90909090909091","122271.5","399","16","6","7","3"
"1","0.5","10","150","1","31","18.75","24.12162162162162","25.428571428571427","122292.5","418","16","6","7","3"
"3","0.5","10","150","2","31","19.2","24","25.347826086956523","134307.5","564","18","5","7","6"
"1","0.5","10","150","1","32","22.833333333333332","25.06756756756757","26.264705882352942","122306","418","16","6","7","3"
"2","0.5","10","150","1.5","30","19.25","24.585714285714285","25.90909090909091","122284","421","16","5","7","4"
