"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 00:39:46:968 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"3","0.5","10","150","2","24","23","18.714285714285715","19.652173913043477","122201.5","365","16","5","7","3"
"2","0.5","10","150","1.5","25","15","19.67142857142857","20.808823529411764","122233.5","397","16","6","7","3"
"1","0.5","10","150","1","24","23","18.714285714285715","19.652173913043477","122223","382","16","6","7","3"
"3","0.5","10","150","2","25","23","19.7","20.652173913043477","122215","380","16","6","7","3"
"2","0.5","10","150","1.5","26","18.333333333333332","20.642857142857142","21.746268656716417","122245","412","16","5","7","4"
"1","0.5","10","150","1","25","18.666666666666668","19.7","20.746268656716417","122236.5","382","16","6","7","3"
"3","0.5","10","150","2","26","19.333333333333332","20.685714285714287","21.746268656716417","122227.5","395","16","6","7","3"
"2","0.5","10","150","1.5","27","18.333333333333332","21.6","22.746268656716417","128257.5","445","17","4","7","5"
"1","0.5","10","150","1","26","18.666666666666668","20.65714285714286","21.746268656716417","122250","382","16","6","7","3"
"3","0.5","10","150","2","27","19.333333333333332","21.642857142857142","22.746268656716417","122239","411","16","5","7","4"
"2","0.5","10","150","1.5","28","18.333333333333332","22.557142857142857","23.746268656716417","128270","461","17","5","7","5"
"1","0.5","10","150","1","27","18.666666666666668","21.614285714285714","22.746268656716417","122261.5","413","16","6","7","3"
"3","0.5","10","150","2","28","19.333333333333332","22.6","23.746268656716417","128250.5","458","17","4","7","5"
"2","0.5","10","150","1.5","29","18.333333333333332","23.514285714285716","24.746268656716417","128282.5","461","17","5","7","5"
"1","0.5","10","150","1","28","18.666666666666668","22.571428571428573","23.746268656716417","128273","460","17","4","7","5"
"3","0.5","10","150","2","29","19.333333333333332","23.557142857142857","24.746268656716417","128261","490","17","4","7","6"
"2","0.5","10","150","1.5","30","18.333333333333332","24.47142857142857","25.746268656716417","128294","499","17","5","7","5"
"1","0.5","10","150","1","29","17.25","23.52857142857143","24.90909090909091","128284.5","476","17","4","7","6"
"3","0.5","10","150","2","30","18","24.514285714285716","25.90909090909091","134271.5","576","18","3","7","7"
