"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"yellow flexbuses at 2.0 with varying fixed bus sizes"
"03/31/2018 20:44:19:382 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"2","2","10","60","2","27","23","21.67142857142857","22.652173913043477","80168","130","10","0","7","3"
"3","2","10","150","2","26","23","20.685714285714287","21.652173913043477","80161","130","10","0","7","3"
"1","2","10","12","2","25","23","19.7","20.652173913043477","100188","184","11","1","7","3"
"2","2","10","60","2","28","23","22.65714285714286","23.652173913043477","80175","130","10","0","7","3"
"3","2","10","150","2","27","23","21.67142857142857","22.652173913043477","80168","130","10","0","7","3"
"1","2","10","12","2","26","23","20.685714285714287","21.652173913043477","100197","184","11","1","7","3"
"2","2","10","60","2","29","23","23.642857142857142","24.652173913043477","80182","130","10","0","7","3"
"3","2","10","150","2","28","23","22.65714285714286","23.652173913043477","80175","130","10","0","7","3"
"1","2","10","12","2","27","23","21.67142857142857","22.652173913043477","100206","184","11","1","7","3"
"2","2","10","60","2","30","23","24.62857142857143","25.652173913043477","80189","157","10","0","7","3"
"3","2","10","150","2","29","23","23.642857142857142","24.652173913043477","80182","130","10","0","7","3"
"1","2","10","12","2","28","23","22.65714285714286","23.652173913043477","100215","184","11","1","7","3"
"2","2","10","60","2","31","23","24.22972972972973","25.246575342465754","80196","166","10","0","7","3"
"3","2","10","150","2","30","23","24.62857142857143","25.652173913043477","80189","148","10","0","7","3"
"1","2","10","12","2","29","23","23.642857142857142","24.652173913043477","100224","184","11","1","7","3"
"2","2","10","60","2","32","27","25.216216216216218","26.166666666666668","80203","166","10","0","7","3"
"3","2","10","150","2","31","23","24.22972972972973","25.246575342465754","80196","166","10","0","7","3"
"2","2","10","60","2","33","27","26.18918918918919","27.166666666666668","80210","166","10","0","7","3"
"1","2","10","12","2","30","23","24.62857142857143","25.652173913043477","100233","211","11","1","7","3"
"3","2","10","150","2","32","27","25.216216216216218","26.166666666666668","80203","166","10","0","7","3"
"2","2","10","60","2","34","27","27.16216216216216","28.166666666666668","80217","166","10","0","7","3"
"1","2","10","12","2","31","23","24.22972972972973","25.246575342465754","100242","229","11","1","7","3"
"3","2","10","150","2","33","27","26.18918918918919","27.166666666666668","80210","166","10","0","7","3"
"2","2","10","60","2","35","27","28.135135135135137","29.166666666666668","80224","166","10","0","7","3"
"1","2","10","12","2","32","27","25.216216216216218","26.166666666666668","100251","229","11","1","7","3"
"2","2","10","60","2","36","29.666666666666668","29.10810810810811","30.08450704225352","80231","166","10","0","7","3"
