"[all run data]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
,"0","5","6","80021","91","10","0","7","3","0","5","6","80021","91","10","0","7","3","0","5","6","80021","91","10","0","7","3","0","5","6","80021","91","10","0","7","3","0","5","6","80021","91","10","0","7","3"
,"0","6","7","92029.5","111","11","0","7","3","0","6","7","80028","91","10","0","7","3","0","6","7","80028","91","10","0","7","3","0","6","7","80028","91","10","0","7","3","0","6","7","92029.5","111","11","0","7","3"
,"0","7","8","92038","121","11","1","7","3","0","7","8","80035","91","10","0","7","3","0","7","8","80035","91","10","0","7","3","0","7","8","80035","91","10","0","7","3","0","7","8","92038","121","11","1","7","3"
,"0","8","9","92046.5","121","11","1","7","3","0","8","9","80042","92","10","0","7","3","0","8","9","80042","92","10","0","7","3","0","8","9","80042","92","10","0","7","3","0","8","9","92046.5","121","11","1","7","3"
,"0","9","10","92055","136","11","1","7","3","0","9","10","92050.5","124","11","0","7","3","0","9","10","92050.5","124","11","0","7","3","0","9","10","92050.5","118","11","0","7","3","0","9","10","92055","130","11","1","7","3"
,"0","10","11","92063.5","136","11","1","7","3","0","10","11","92059","134","11","1","7","3","0","10","11","92059","134","11","1","7","3","0","10","11","92059","134","11","1","7","3","0","10","11","92063.5","136","11","1","7","3"
,"0","11","12","92072","136","11","1","7","3","0","11","12","92067.5","134","11","1","7","3","0","11","12","92067.5","134","11","1","7","3","0","11","12","92067.5","134","11","1","7","3","0","11","12","92072","136","11","1","7","3"
,"0","12","13","92080.5","140","11","1","7","3","0","12","13","92076","138","11","1","7","3","0","12","13","92076","138","11","1","7","3","0","12","13","92076","137","11","1","7","3","0","12","13","92080.5","139","11","1","7","3"
,"0","13","14","92089","140","11","1","7","3","0","13","14","92084.5","138","11","1","7","3","0","13","14","92084.5","138","11","1","7","3","0","13","14","92084.5","138","11","1","7","3","0","13","14","92089","140","11","1","7","3"
,"0","14","15","92097.5","141","11","1","7","3","0","14","15","92093","139","11","1","7","3","0","14","15","92093","139","11","1","7","3","0","14","15","92093","139","11","1","7","3","0","14","15","98098.5","163","12","1","7","3"
